2020-12-18 19:05:58,011 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2020-12-18 19:05:59,692 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file C:\Users\kamepan\.dubbo\dubbo-registry-dubbo-admin-127.0.0.1:2181.cache, data: {*/service.UserService:*=empty://192.168.61.1/service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=* empty://192.168.61.1/service.UserService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=* empty://192.168.61.1/service.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=* empty://192.168.61.1/service.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=* empty://192.168.61.1/service.UserService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=*, */com.alibaba.dubbo.monitor.MonitorService:*=empty://192.168.61.1/com.alibaba.dubbo.monitor.MonitorService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=* empty://192.168.61.1/com.alibaba.dubbo.monitor.MonitorService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=* empty://192.168.61.1/com.alibaba.dubbo.monitor.MonitorService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=* empty://192.168.61.1/com.alibaba.dubbo.monitor.MonitorService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=* dubbo://192.168.61.1:7070/com.alibaba.dubbo.monitor.MonitorService?anyhost=true&application=simple-monitor&delay=-1&dubbo=2.6.0&generic=false&interface=com.alibaba.dubbo.monitor.MonitorService&methods=lookup,collect&owner=dubbo&pid=20340&revision=2.6.0&side=provider&timestamp=1601961049430}, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:06:04,420 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=21036&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Cunsubscribe%2Csubscribe%2Cunregister%2Cregister%26pid%3D21036%26register.ip%3D192.168.61.1%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1608289559615&timestamp=1608289559656, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:06:04,444 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:06:04,446 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.61.1?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:06:04,498 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.61.1/cn.edu.ecnu.providerOne.service.IAdviceService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=cn.edu.ecnu.providerOne.service.IAdviceService&version=*, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:06:04,522 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.61.1/cn.edu.ecnu.providerOne.service.IAdviceService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=cn.edu.ecnu.providerOne.service.IAdviceService&version=*, urls: [dubbo://192.168.61.1:20880/cn.edu.ecnu.providerOne.service.IAdviceService?anyhost=true&application=dubbo-providerOne&dubbo=2.0.2&generic=false&interface=cn.edu.ecnu.providerOne.service.IAdviceService&loadbalance=random&methods=insertAdvice&pid=10548&retries=0&side=provider&timeout=6000&timestamp=1608289022434, empty://192.168.61.1/cn.edu.ecnu.providerOne.service.IAdviceService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=cn.edu.ecnu.providerOne.service.IAdviceService&version=*, empty://192.168.61.1/cn.edu.ecnu.providerOne.service.IAdviceService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=cn.edu.ecnu.providerOne.service.IAdviceService&version=*, empty://192.168.61.1/cn.edu.ecnu.providerOne.service.IAdviceService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=cn.edu.ecnu.providerOne.service.IAdviceService&version=*], dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:06:05,564 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:06:32,403 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:06:41,015 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:06:41,123 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/common.css, dubbo version: 2.6.2, current host: 192.168.61.1
